ts,basis_bps,close,day_of_week_cos,day_of_week_sin,depth10_ask_usd,depth10_bid_usd,funding_rate,funding_rate_twap_60m,high,index_price,low,mark_price,mid,minute_of_day_cos,minute_of_day_sin,ofi_10s,ofi_1s,ofi_30s,ofi_5s,oi_zscore_24h,open,realized_vol_240m,realized_vol_60m,spread,spread_bps,symbol,volume,view_id,feat_missing_basis_bps,feat_missing_close,feat_missing_day_of_week_cos,feat_missing_day_of_week_sin,feat_missing_depth10_ask_usd,feat_missing_depth10_bid_usd,feat_missing_funding_rate,feat_missing_funding_rate_twap_60m,feat_missing_high,feat_missing_index_price,feat_missing_low,feat_missing_mark_price,feat_missing_mid,feat_missing_minute_of_day_cos,feat_missing_minute_of_day_sin,feat_missing_ofi_10s,feat_missing_ofi_1s,feat_missing_ofi_30s,feat_missing_ofi_5s,feat_missing_oi_zscore_24h,feat_missing_open,feat_missing_realized_vol_240m,feat_missing_realized_vol_60m,feat_missing_spread,feat_missing_spread_bps,feat_missing_volume
2025-12-06 09:45:40+00:00,-6.271227046605081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2836.4449999999997,0.0,2836.4449999999997,2836.4449999999997,0.0,0.0,369.98,16.799999999999997,58.38000000000001,40.89,0.0,0.0,0.04247133803371685,0.04247133803371685,0.009999999999763531,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:45:50+00:00,-6.586501546242492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2837.6549999999997,0.0,2837.6549999999997,2837.6549999999997,0.0,0.0,-63.250000000000014,-256.37,-76.78000000000002,-3.450000000000014,0.0,0.0,0.04615687620282689,0.04615687620282689,0.009999999999763531,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:46:00+00:00,-6.268378145194654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2837.865,0.0,2837.865,2837.865,0.0,0.0,3.769999999999999,30.02,-6.790000000000016,29.589999999999996,0.0,0.0,0.04561367518865435,0.04561367518865435,0.009999999999763531,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:46:10+00:00,-4.57767433016204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2837.885,0.0,2837.885,2837.885,0.0,0.0,-94.72999999999999,-106.24999999999999,-14.49000000000001,-37.27999999999999,0.0,0.0,0.0491904112139593,0.0491904112139593,0.009999999999763531,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:46:20+00:00,-6.479238266945129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2837.995,0.0,2837.995,2837.995,0.0,0.0,64.6,-25.140000000000004,74.62999999999998,56.61999999999999,0.0,0.0,0.053335027749727926,0.053335027749727926,0.010000000000218279,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:46:30+00:00,-6.655374831414329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2837.975,0.0,2837.975,2837.975,0.0,0.0,35.98000000000004,30.400000000000023,106.97000000000001,7.520000000000039,0.0,0.0,0.053441366827339624,0.053441366827339624,0.010000000000218279,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:46:40+00:00,-6.196354008971399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2838.705,0.0,2838.705,2838.705,0.0,0.0,-4.17999999999999,-90.01,63.47000000000003,2.4600000000000066,0.0,0.0,0.059568785538992544,0.059568785538992544,0.010000000000218279,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:46:50+00:00,-5.280035481838437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2839.325,0.0,2839.325,2839.325,0.0,0.0,-151.63,7.159999999999998,-57.23999999999997,-16.990000000000013,0.0,0.0,0.06355826241257549,0.06355826241257549,0.009999999999763531,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:47:00+00:00,-6.441688637635399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2838.965,0.0,2838.965,2838.965,0.0,0.0,64.07,19.840000000000003,-23.119999999999973,-3.4599999999999977,0.0,0.0,0.06406124194150357,0.06406124194150357,0.009999999999763531,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:47:10+00:00,-4.715254905273152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.315,0.0,2840.315,2840.315,0.0,0.0,20.54000000000001,-19.62,-41.04,29.299999999999994,0.0,0.0,0.07258757622171366,0.07258757622171366,0.010000000000218279,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:47:20+00:00,-5.348572072008607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.255,0.0,2840.255,2840.255,0.0,0.0,5.179999999999996,-23.9,2.6699999999999933,-45.549999999999976,0.0,0.0,0.07527934829056034,0.07527934829056034,0.010000000000218279,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 09:47:30+00:00,-5.667277981743877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2839.125,0.0,2839.125,2839.125,0.0,0.0,-109.84999999999997,-12.949999999999996,-51.12999999999996,-90.15999999999997,0.0,0.0,0.07991328766517819,0.07991328766517819,0.010000000000218279,0.0,ETHUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
