ts,basis_bps,close,day_of_week_cos,day_of_week_sin,depth10_ask_usd,depth10_bid_usd,funding_rate,funding_rate_twap_60m,high,index_price,low,mark_price,mid,minute_of_day_cos,minute_of_day_sin,ofi_10s,ofi_1s,ofi_30s,ofi_5s,oi_zscore_24h,open,realized_vol_240m,realized_vol_60m,spread,spread_bps,symbol,volume,view_id,feat_missing_basis_bps,feat_missing_close,feat_missing_day_of_week_cos,feat_missing_day_of_week_sin,feat_missing_depth10_ask_usd,feat_missing_depth10_bid_usd,feat_missing_funding_rate,feat_missing_funding_rate_twap_60m,feat_missing_high,feat_missing_index_price,feat_missing_low,feat_missing_mark_price,feat_missing_mid,feat_missing_minute_of_day_cos,feat_missing_minute_of_day_sin,feat_missing_ofi_10s,feat_missing_ofi_1s,feat_missing_ofi_30s,feat_missing_ofi_5s,feat_missing_oi_zscore_24h,feat_missing_open,feat_missing_realized_vol_240m,feat_missing_realized_vol_60m,feat_missing_spread,feat_missing_spread_bps,feat_missing_volume
2025-12-06 12:30:10+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.305,0.0,127.305,127.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000005116,0.0,SOLUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 12:30:20+00:00,-4.941447765758761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.42500000000001,0.0,127.42500000000001,127.42500000000001,0.0,0.0,-2020.0000000000011,2630.0999999999995,-1063.8000000000025,-2262.000000000001,0.0,0.0,0.17968155879760728,0.17968155879760728,0.010000000000005116,0.0,SOLUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 12:30:30+00:00,-5.492091388401282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.38499999999999,0.0,127.38499999999999,127.38499999999999,0.0,0.0,-3244.9,-3054.0999999999995,-3774.5999999999985,-3240.1999999999994,0.0,0.0,0.1540861997860096,0.1540861997860096,0.010000000000005116,0.0,SOLUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 12:30:40+00:00,-5.730883969225412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.305,0.0,127.305,127.305,0.0,0.0,-4906.0,-320.1,-3782.8999999999996,-4078.9000000000005,0.0,0.0,0.13864405747514533,0.13864405747514533,0.010000000000005116,0.0,SOLUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 12:30:50+00:00,-6.206056797203954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.215,0.0,127.215,127.215,0.0,0.0,158.90000000000109,-271.6000000000001,5992.400000000001,-778.0999999999999,0.0,0.0,0.12937732351282366,0.12937732351282366,0.010000000000005116,0.0,SOLUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 12:31:00+00:00,-6.365872635392922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.13499999999999,0.0,127.13499999999999,127.13499999999999,0.0,0.0,-5102.999999999999,-2049.999999999999,-3924.4999999999973,-1138.799999999999,0.0,0.0,0.12331639658133944,0.12331639658133944,0.010000000000005116,0.0,SOLUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 12:31:10+00:00,-5.816969830364431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.13499999999999,0.0,127.13499999999999,127.13499999999999,0.0,0.0,-2942.9,526.1999999999998,-4232.899999999999,-419.30000000000007,0.0,0.0,0.12170991882457856,0.12170991882457856,0.010000000000005116,0.0,SOLUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 12:31:20+00:00,-5.18802666331187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.155,0.0,127.155,127.155,0.0,0.0,-3274.9,-180.99999999999983,362.80000000000035,-2641.8,0.0,0.0,0.11589419225979126,0.11589419225979126,0.009999999999990905,0.0,SOLUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 12:31:30+00:00,-6.284861340247662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.205,0.0,127.205,127.205,0.0,0.0,674.5000000000002,1473.2000000000007,-874.799999999999,413.00000000000074,0.0,0.0,0.11410784329130019,0.11410784329130019,0.009999999999990905,0.0,SOLUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2025-12-06 12:31:40+00:00,-6.5193656578667065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.225,0.0,127.225,127.225,0.0,0.0,2619.0000000000005,652.4000000000001,-1124.9999999999995,761.9000000000004,0.0,0.0,0.11336710572712046,0.11336710572712046,0.010000000000005116,0.0,SOLUSDT,0.0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
